SgnYear [统计年度] - YYYY
CityCode [城市代码] - null
CityName [城市名称] - null
ProvinceCode [所属省份代码] - null
ProvinceName [所属省份名称] - null
UrbanDistArea [市区面积] - null
UrbanDistPop [市区人口] - null
UrbanDistTempPop [市区暂住人口] - null
UrbanArea [城区面积] - null
UrbanPop [城区人口] - null
UrbanTempPop [城区暂住人口] - null
BuiltDistrictArea [建成区面积] - null
UrbanConLandArea [城市建设用地面积] - null
ResidentialLand [其中：居住用地] - null
AdmPubSerLand [其中：公共管理与公共服务用地] - null
ComBusFacLand [其中：商业服务业设施用地] - null
IndustrialLand [其中：工业用地] - null
LogWarLand [其中：物流仓储用地] - null
RoadStrTranLand [其中：道路交通设施用地] - null
MunUtilLand [其中：公用设施用地] - null
GreenSpaceSquLand [其中：绿地与广场用地] - null
AreaReqLand [本年征用土地面积] - null
ArableLand [其中：耕地] - null
